,Beta Value,Max Bid,Num Bids,Average Optimum Profit,Average Actual Profit,Average Loss,Average Loss Per Bid,Worst Loss,Average Worst Loss
0,1.1,10,5,18.4,9.934,6.793,1.359,12.597,2.519
1,1.1,10,10,35.26,23,9.055,0.905,22.129,2.213
2,1.1,10,20,65.02,51.084,8.025,0.401,22.559,1.128
3,1.1,10,50,163.88,140.589,8.393,0.168,31.545,0.631
4,1.1,10,100,313.94,283.528,1.872,0.019,25.225,0.252
5,1.1,10,150,454.94,417.709,-4.127,-0.028,19.858,0.132
6,1.1,10,200,611.76,568.791,-12.645,-0.063,19.46,0.097
7,1.1,10,500,1525.88,1449.501,-62.338,-0.125,-12.895,-0.026
8,1.1,10,1000,3008.44,2876.739,-141.794,-0.142,-79.324,-0.079
9,1.1,20,5,35.72,16.336,16.137,3.227,43.636,8.727
10,1.1,20,10,61.18,39.161,16.458,1.646,38.053,3.805
11,1.1,20,20,123.24,94.896,17.14,0.857,45.593,2.28
12,1.1,20,50,293.26,249.304,17.296,0.346,70.105,1.402
13,1.1,20,100,587.32,534.465,-0.538,-0.005,66.01,0.66
14,1.1,20,150,844.68,784.289,-16.398,-0.109,56.088,0.374
15,1.1,20,200,1108.46,1039.236,-31.545,-0.158,10.342,0.052
16,1.1,20,500,2758.14,2651.953,-144.553,-0.289,-71.625,-0.143
17,1.1,20,1000,5553.88,5389.415,-340.433,-0.34,-248.31,-0.248
18,1.1,30,5,49.18,23.611,21.098,4.22,45.181,9.036
19,1.1,30,10,101.88,63.754,28.864,2.886,61.764,6.176
20,1.1,30,20,181.28,132.107,32.693,1.635,74.413,3.721
21,1.1,30,50,413.72,352.895,23.214,0.464,74.796,1.496
22,1.1,30,100,829.66,746.743,7.493,0.075,91.494,0.915
23,1.1,30,150,1227.68,1137.552,-21.479,-0.143,48.541,0.324
24,1.1,30,200,1655.2,1545.683,-40.956,-0.205,70.979,0.355
25,1.1,30,500,4043.48,3872.777,-196.886,-0.394,-83.578,-0.167
26,1.1,30,1000,8018.32,7800.655,-511.273,-0.511,-262.788,-0.263
27,1.1,40,5,73.08,30.723,35.713,7.143,67.273,13.455
28,1.1,40,10,129.32,79.101,38.463,3.846,96.142,9.614
29,1.1,40,20,243.9,182.32,39.408,1.97,100.569,5.028
30,1.1,40,50,554.42,459.809,44.21,0.884,136.551,2.731
31,1.1,40,100,1108.38,969.192,38.426,0.384,117.682,1.177
32,1.1,40,150,1616.12,1450.833,18.367,0.122,164.723,1.098
33,1.1,40,200,2137.22,1942.361,0.566,0.003,174.242,0.871
34,1.1,40,500,5310.72,4948.517,-120.589,-0.241,79.608,0.159
35,1.1,40,1000,10580.22,9961.117,-342.736,-0.343,-39.771,-0.04
36,1.1,50,5,86.56,38.571,40.12,8.024,89.278,17.856
37,1.1,50,10,159.1,99.858,44.778,4.478,108.896,10.89
38,1.1,50,20,311.54,226.856,56.362,2.818,159.411,7.971
39,1.1,50,50,687.9,573.381,51.982,1.04,181.647,3.633
40,1.1,50,100,1370.56,1235.56,10.404,0.104,100.307,1.003
41,1.1,50,150,1995.32,1818.329,-4.401,-0.029,140.274,0.935
42,1.1,50,200,2680.92,2480.229,-43.029,-0.215,152.073,0.76
43,1.1,50,500,6639.22,6331.358,-295.703,-0.591,-8.504,-0.017
44,1.1,50,1000,13045.48,12625.167,-765.64,-0.766,-338.948,-0.339
45,1.1,100,5,170.22,84.257,70.489,14.098,240,48
46,1.1,100,10,307.12,182.152,97.048,9.705,246.836,24.684
47,1.1,100,20,572.1,426.821,93.27,4.663,222.703,11.135
48,1.1,100,50,1390.76,1157.316,107.011,2.14,359.951,7.199
49,1.1,100,100,2697.06,2399.982,51.89,0.519,345.339,3.453
50,1.1,100,150,3926.18,3594.963,-25.709,-0.171,328.879,2.193
51,1.1,100,200,5253.92,4875.365,-99.074,-0.495,116.858,0.584
52,1.1,100,500,12782.72,12272.81,-652.155,-1.304,-162.908,-0.326
53,1.1,100,1000,25718.22,25039.975,-1659.775,-1.66,-1170.811,-1.171
54,1.1,200,5,351.98,161.845,158.137,31.627,389.091,77.818
55,1.1,200,10,624.48,391.375,176.334,17.633,349.17,34.917
56,1.1,200,20,1203.42,901.652,192.366,9.618,479.497,23.975
57,1.1,200,50,2738.5,2284.263,205.283,4.106,590.544,11.811
58,1.1,200,100,5374.1,4794.17,91.376,0.914,597.467,5.975
59,1.1,200,150,7742.56,7129.278,-90.587,-0.604,522.854,3.486
60,1.1,200,200,10309.76,9537.96,-165.451,-0.827,374.637,1.873
61,1.1,200,500,25628.42,24628.287,-1329.723,-2.659,-358.143,-0.716
62,1.1,200,1000,51063.54,49755.417,-3334.017,-3.334,-1812.62,-1.813
63,1.1,500,5,842.86,352.915,413.322,82.664,1088.182,217.636
64,1.1,500,10,1598.84,1033.475,420.015,42.002,1105.266,110.527
65,1.1,500,20,2852.42,2183.564,409.545,20.477,1482.981,74.149
66,1.1,500,50,6668.24,5564.863,497.173,9.943,1516.136,30.323
67,1.1,500,100,13236.28,11855.996,176.986,1.77,1083.446,10.834
68,1.1,500,150,19229.04,17625.392,-144.447,-0.963,1723.614,11.491
69,1.1,500,200,26048.72,24378.794,-698.14,-3.491,871.055,4.355
70,1.1,500,500,64181.16,61891.398,-3544.888,-7.09,-1888.425,-3.777
71,1.1,500,1000,127043.04,123841.507,-8347.835,-8.348,-5428.538,-5.429
72,1.1,1000,5,1603.28,675.498,782.029,156.406,2603.753,520.751
73,1.1,1000,10,3190.88,1983.835,916.965,91.697,2621.263,262.126
74,1.1,1000,20,6009.7,4416.24,1047.124,52.356,2486.132,124.307
75,1.1,1000,50,13729.14,11574.981,906.056,18.121,2700.239,54.005
76,1.1,1000,100,26150.14,23172.755,600.099,6.001,2907.843,29.078
77,1.1,1000,150,39044.36,35463.971,30.902,0.206,2022.661,13.484
78,1.1,1000,200,51657.26,47865.594,-904.449,-4.522,2373.947,11.87
79,1.1,1000,500,127939.52,122945.232,-6636.578,-13.273,-2472.683,-4.945
80,1.1,1000,1000,251764.14,245803.379,-16926.888,-16.927,-12210.514,-12.211
81,1.1,5000,5,8265.88,3700.076,3814.36,762.872,8432.727,1686.545
82,1.1,5000,10,15390.88,9470.999,4520.71,452.071,11000.947,1100.095
83,1.1,5000,20,29279.74,21315.309,5302.637,265.132,13898.226,694.911
84,1.1,5000,50,68845.06,58208.797,4377.621,87.552,13386.782,267.736
85,1.1,5000,100,132087.06,118859.453,1219.692,12.197,17612.167,176.122
86,1.1,5000,150,194197.18,178505.856,-1962.965,-13.086,13069.29,87.129
87,1.1,5000,200,259610.36,241365.528,-5356.11,-26.781,13685.579,68.428
88,1.1,5000,500,634719.86,610551.143,-33533.089,-67.066,-9320.829,-18.642
89,1.1,5000,1000,1262352.5,1234399.688,-86806.506,-86.807,-61215.866,-61.216
90,1.1,10000,5,17179.4,7594.618,8023.019,1604.604,17307.483,3461.497
91,1.1,10000,10,31622.74,18407.833,10340.112,1034.011,24071.58,2407.158
92,1.1,10000,20,59009.76,43799.318,9845.919,492.296,23602.485,1180.124
93,1.1,10000,50,139805.92,117369.243,9727.048,194.541,28442.703,568.854
94,1.1,10000,100,263420.98,235488.346,3985.272,39.853,19098.654,190.987
95,1.1,10000,150,382487.54,350699.118,-2983.172,-19.888,23745.529,158.304
96,1.1,10000,200,513605.48,476428.232,-9514.159,-47.571,16185.025,80.925
97,1.1,10000,500,1282614.32,1235035.157,-69022.139,-138.044,-21122.555,-42.245
98,1.1,10000,1000,2536197.14,2478072.965,-172439.201,-172.439,-121920.616,-121.921
99,1.2,10,5,17.42,9.401,5.116,1.023,10.29,2.058
100,1.2,10,10,34.36,21.959,6.674,0.667,19.408,1.941
101,1.2,10,20,62.62,46.249,5.934,0.297,22.403,1.12
102,1.2,10,50,158.54,132.636,-0.52,-0.01,14.271,0.285
103,1.2,10,100,307.52,272.545,-16.278,-0.163,8.131,0.081
104,1.2,10,150,457.62,408.265,-26.915,-0.179,4.115,0.027
105,1.2,10,200,598.74,541.93,-42.98,-0.215,-5.41,-0.027
106,1.2,10,500,1510.02,1388.949,-130.599,-0.261,-84.829,-0.17
107,1.2,10,1000,3000.36,2782.877,-282.577,-0.283,-221.811,-0.222
108,1.2,20,5,36.44,18.939,11.427,2.285,27.5,5.5
109,1.2,20,10,66.12,44.891,10.209,1.021,30.406,3.041
110,1.2,20,20,125.68,96.727,8.007,0.4,36.424,1.821
111,1.2,20,50,291.9,253.189,-9.939,-0.199,22.306,0.446
112,1.2,20,100,568.5,514.566,-40.816,-0.408,21.348,0.213
113,1.2,20,150,840.66,772.257,-71.707,-0.478,1.363,0.009
114,1.2,20,200,1129.78,1052.667,-111.183,-0.556,-30.103,-0.151
115,1.2,20,500,2785.12,2647.553,-326.619,-0.653,-243.754,-0.488
116,1.2,20,1000,5516.58,5300.969,-703.819,-0.704,-598.96,-0.599
117,1.2,30,5,54.66,26.09,19.46,3.892,43.333,8.667
118,1.2,30,10,94.42,58.103,20.581,2.058,71.084,7.108
119,1.2,30,20,175.7,130.15,16.266,0.813,72.965,3.648
120,1.2,30,50,420.16,350.321,-0.187,-0.004,52.219,1.044
121,1.2,30,100,822.78,737.856,-52.206,-0.522,21.075,0.211
122,1.2,30,150,1213.98,1113.35,-101.7,-0.678,-2.684,-0.018
123,1.2,30,200,1651.24,1529.919,-153.885,-0.769,-43.426,-0.217
124,1.2,30,500,4055.64,3864.064,-484.364,-0.969,-329.463,-0.659
125,1.2,30,1000,8021.5,7728.929,-1044.346,-1.044,-740.756,-0.741
126,1.2,40,5,70.12,36.049,22.384,4.477,73.647,14.729
127,1.2,40,10,126.82,76.912,28.772,2.877,82.994,8.299
128,1.2,40,20,252.02,186.18,23.836,1.192,69.222,3.461
129,1.2,40,50,561.9,469.543,-1.293,-0.026,103.618,2.072
130,1.2,40,100,1098.46,965.555,-50.172,-0.502,114.292,1.143
131,1.2,40,150,1613.88,1460.613,-115.713,-0.771,19.207,0.128
132,1.2,40,200,2130.1,1954.168,-179.085,-0.895,-69.426,-0.347
133,1.2,40,500,5349.86,5029.932,-571.715,-1.143,-426.191,-0.852
134,1.2,40,1000,10614.92,10088.88,-1243.113,-1.243,-1025.06,-1.025
135,1.2,50,5,91.32,50.71,25.39,5.078,113.333,22.667
136,1.2,50,10,152,96.318,30.349,3.035,78.95,7.895
137,1.2,50,20,303.88,223.103,30.131,1.507,106.182,5.309
138,1.2,50,50,715.04,602.235,-6.368,-0.127,82.744,1.655
139,1.2,50,100,1349.74,1194.727,-69.944,-0.699,30.891,0.309
140,1.2,50,150,2008.72,1815.265,-141.332,-0.942,13.572,0.09
141,1.2,50,200,2659.5,2453.781,-237.531,-1.188,-69.604,-0.348
142,1.2,50,500,6542.94,6207.36,-754.91,-1.51,-390.466,-0.781
143,1.2,50,1000,12978.02,12464.202,-1649.185,-1.649,-1301.133,-1.301
144,1.2,100,5,177.14,85.617,62,12.4,149.67,29.934
145,1.2,100,10,307.12,187.2,68.733,6.873,225.419,22.542
146,1.2,100,20,588.04,435.783,54.251,2.713,198.609,9.93
147,1.2,100,50,1370.42,1133.217,8.8,0.176,205.285,4.106
148,1.2,100,100,2647.54,2339.557,-133.274,-1.333,109.96,1.1
149,1.2,100,150,3972.34,3621.979,-311.696,-2.078,35.839,0.239
150,1.2,100,200,5324.66,4928.234,-491.018,-2.455,-162.205,-0.811
151,1.2,100,500,12857.12,12257.577,-1543.31,-3.087,-1065.263,-2.131
152,1.2,100,1000,25763.36,24871.912,-3402.445,-3.402,-2723.386,-2.723
153,1.2,200,5,337,160.753,120.081,24.016,293.333,58.667
154,1.2,200,10,633.28,384.715,143.018,14.302,334.983,33.498
155,1.2,200,20,1122.92,831.136,104.63,5.232,456.475,22.824
156,1.2,200,50,2654.76,2222.261,-9.961,-0.199,501.865,10.037
157,1.2,200,100,5239.46,4640.256,-274.039,-2.74,326.164,3.262
158,1.2,200,150,7969.7,7317.485,-676.068,-4.507,-191.058,-1.274
159,1.2,200,200,10372.9,9655.208,-1011.124,-5.056,-394.982,-1.975
160,1.2,200,500,25581.78,24572.391,-3254.241,-6.508,-2321.629,-4.643
161,1.2,200,1000,50609.58,49185.515,-7010.865,-7.011,-5647.004,-5.647
162,1.2,500,5,795.06,357.035,305.515,61.103,791.511,158.302
163,1.2,500,10,1563.24,983.259,319.441,31.944,894.781,89.478
164,1.2,500,20,2926.74,2142.378,296.572,14.829,900.657,45.033
165,1.2,500,50,6916.8,5806.077,-42.077,-0.842,768.589,15.372
166,1.2,500,100,13349,12036.683,-912.516,-9.125,-73.507,-0.735
167,1.2,500,150,19247.08,17604.887,-1565.653,-10.438,-124.058,-0.827
168,1.2,500,200,25729.1,24001.977,-2561.06,-12.805,-1238.219,-6.191
169,1.2,500,500,64570.32,62083.034,-8274.434,-16.549,-6954.704,-13.909
170,1.2,500,1000,126890.26,123439.708,-17697.825,-17.698,-13855.503,-13.856
171,1.2,1000,5,1671.72,852.231,540.869,108.174,1135.73,227.146
172,1.2,1000,10,3186.84,2009.555,646.145,64.615,1791.198,179.12
173,1.2,1000,20,5719.08,4182.06,583.84,29.192,2117.506,105.875
174,1.2,1000,50,13259.96,11069.23,-19.263,-0.385,1543.53,30.871
175,1.2,1000,100,26550.56,24040.728,-1915.261,-19.153,863.773,8.638
176,1.2,1000,150,39106.82,35814.99,-3225.974,-21.506,-613.496,-4.09
177,1.2,1000,200,51689.2,48385.915,-5311.582,-26.558,-2172.142,-10.861
178,1.2,1000,500,128648.44,124082.065,-16875.031,-33.75,-10473.679,-20.947
179,1.2,1000,1000,254272.6,248024.86,-36131.027,-36.131,-29544.662,-29.545
180,1.2,5000,5,8183.4,3363.108,3456.392,691.278,8618.948,1723.79
181,1.2,5000,10,15716.92,9710.053,3387.38,338.738,7215.835,721.583
182,1.2,5000,20,29209.36,21509.759,2831.375,141.569,9068.428,453.421
183,1.2,5000,50,65725.04,54377.278,393.588,7.872,11596.057,231.921
