,Beta Value,Max Bid,Num Bids,Average Optimum Profit,Average Actual Profit,Average Loss,Average Loss Per Bid,Worst Loss,Average Worst Loss
0,1.1,10,5,19.96,9.651,8.494,1.699,29.091,5.818
1,1.1,10,10,34.64,18.857,12.634,1.263,44.545,4.455
2,1.1,10,20,67.82,41.908,19.746,0.987,60.609,3.03
3,1.1,10,50,154.18,96.652,43.511,0.87,104.253,2.085
4,1.1,10,100,309.82,213.746,67.909,0.679,214.388,2.144
5,1.1,10,150,457.8,304.296,111.886,0.746,320.347,2.136
6,1.1,10,200,613.86,434.937,123.117,0.616,431.495,2.157
7,1.1,10,500,1520.44,1236.187,146.031,0.292,531.319,1.063
8,1.1,10,1000,3027.98,2606.656,146.053,0.146,981.73,0.982
9,1.1,20,5,35.12,16.523,15.404,3.081,47.273,9.455
10,1.1,20,10,66.04,38.443,21.594,2.159,65.455,6.545
11,1.1,20,20,122.44,76.456,34.853,1.743,127.273,6.364
12,1.1,20,50,296.52,175.151,94.412,1.888,290.909,5.818
13,1.1,20,100,576.04,404.637,119.036,1.19,462.417,4.624
14,1.1,20,150,835.9,566.411,193.498,1.29,665.041,4.434
15,1.1,20,200,1119.98,820.902,197.262,0.986,955.64,4.778
16,1.1,20,500,2798.84,2225.019,319.381,0.639,2198.53,4.397
17,1.1,20,1000,5542.6,4779.585,259.142,0.259,1568.17,1.568
18,1.1,30,5,49.62,23.593,21.516,4.303,68.182,13.636
19,1.1,30,10,95.96,47.153,40.084,4.008,104.545,10.454
20,1.1,30,20,169.08,103.709,50.0,2.5,174.114,8.706
21,1.1,30,50,446.42,257.207,148.63,2.973,408.261,8.165
22,1.1,30,100,818.56,540.714,203.431,2.034,704.688,7.047
23,1.1,30,150,1231.18,887.325,231.929,1.546,855.829,5.706
24,1.1,30,200,1644.58,1152.002,343.07,1.715,1255.339,6.277
25,1.1,30,500,4032.54,3255.328,410.618,0.821,1577.298,3.155
26,1.1,30,1000,8072.44,7046.078,292.504,0.293,1886.721,1.887
