,Beta Value,Max Bid,Num Bids,Average Optimum Profit,Average Actual Profit,Average Loss,Average Loss Per Bid,Worst Loss,Average Worst Loss
0,1.1,10,5,18.5,11.162,5.656,1.131,22.764,4.553
1,1.1,10,10,34.36,19.091,12.145,1.215,30.76,3.076
2,1.1,10,20,62.96,38.476,18.761,0.938,37.948,1.897
3,1.1,10,50,155.82,98.223,43.432,0.869,86.867,1.737
4,1.1,10,100,306.4,204.371,74.175,0.742,125.583,1.256
5,1.1,10,150,459.16,311.432,105.986,0.707,161.272,1.075
6,1.1,10,200,600.82,419.4,126.8,0.634,190.935,0.955
7,1.1,10,500,1519.78,1145.662,235.956,0.472,309.187,0.618
8,1.1,10,1000,3024.68,2463.003,286.707,0.287,399.028,0.399
9,1.1,20,5,35.18,15.235,16.746,3.349,34.454,6.891
10,1.1,20,10,66.26,29.89,30.347,3.035,69.545,6.955
11,1.1,20,20,122.96,64.022,47.76,2.388,94.016,4.701
12,1.1,20,50,288.04,159.305,102.549,2.051,152.275,3.046
13,1.1,20,100,555.54,335.53,169.506,1.695,244.661,2.447
14,1.1,20,150,859.22,533.259,247.85,1.652,333.825,2.225
15,1.1,20,200,1131.26,728.461,299.957,1.5,437.788,2.189
16,1.1,20,500,2771.58,2060.672,458.946,0.918,586.057,1.172
17,1.1,20,1000,5570.78,4605.348,458.997,0.459,631.007,0.631
18,1.1,30,5,60.56,24.062,30.992,6.198,87.191,17.438
19,1.1,30,10,92.78,39.339,45.006,4.501,85.93,8.593
20,1.1,30,20,183.68,88.177,78.805,3.94,125.219,6.261
21,1.1,30,50,417.52,224.291,155.273,3.105,225.1,4.502
22,1.1,30,100,822.4,451.565,296.071,2.961,444.391,4.444
23,1.1,30,150,1219.18,731.162,377.183,2.515,525.385,3.503
24,1.1,30,200,1633.36,1017.966,466.906,2.335,664.824,3.324
25,1.1,30,500,4092.8,2976.121,744.606,1.489,1027.339,2.055
26,1.1,30,1000,8060.82,6592.732,735.286,0.735,1069.462,1.069
27,1.1,40,5,68.8,26.68,35.865,7.173,79.324,15.865
28,1.1,40,10,128.62,54.477,62.45,6.245,150.792,15.079
29,1.1,40,20,231.46,99.737,110.682,5.534,229.66,11.483
30,1.1,40,50,551.4,269.329,231.943,4.639,358.662,7.173
31,1.1,40,100,1063.68,569.046,397.936,3.979,560.959,5.61
32,1.1,40,150,1618.26,909.079,562.067,3.747,855.667,5.704
33,1.1,40,200,2180.38,1311.187,670.977,3.355,962.918,4.815
